City,Region,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,PrimeRent
Amsterdam,EMEA,06:30,06:30,07:30,07:30,7:30,"345,0.0"
Athens,EMEA,06:00,06:00,06:00,06:00,6:00,"204,0.0"
Barcelona,EMEA,06:00,06:15,06:30,06:45,7:15,"234,11.4"
Berlin,EMEA,11:00,11:00,11:00,10:30,10:15,"276,4.5"
Brussels,EMEA,06:00,06:00,06:00,06:00,6:00,"275,0.0"
Bucharest,EMEA,06:00,06:00,06:00,06:00,6:00,"222,0.0"
Budapest,EMEA,06:00,06:00,06:00,06:00,6:00,"240,0.0"
Cologne,EMEA,11:30,11:30,11:30,11:30,11:30,"264,0.0"
Copenhagen,EMEA,06:00,06:00,06:00,07:00,8:00,"241,2.9"
Dublin,EMEA,08:15,08:30,09:00,09:00,9:00,"592,22.2"
Dusseldorf,EMEA,02:00,03:00,03:30,04:00,5:00,"312,-1.9"
Edinburgh,EMEA,06:45,07:00,07:00,07:15,7:15,"438,1.7"
Frankfurt,EMEA,11:00,11:00,11:15,11:15,11:15,"426,1.4"
Geneva,EMEA,04:00,04:00,04:30,05:00,5:00,"802,-5.4"
Hamburg,EMEA,10:30,11:00,11:00,11:00,11:00,"294,2.1"
Helsinki,EMEA,12:00,12:30,03:30,06:00,6:00,"306,0.0"
Istanbul,EMEA,07:00,06:00,06:00,06:00,6:00,"420,0.0"
Kiev,EMEA,03:30,03:45,03:45,04:30,5:00,"312,-6.5"
Lisbon,EMEA,05:45,06:00,06:00,06:00,6:15,"222,1.4"
London City,EMEA,08:15,08:30,08:30,08:45,9:00,"986,9.8"
London West End,EMEA,08:15,08:45,08:45,08:45,9:00,"1753,14.3"
Luxembourg,EMEA,08:15,08:15,08:15,08:30,8:30,"540,7.1"
Lyon,EMEA,12:00,12:00,12:00,12:00,12:00,"300,0.0"
Madrid,EMEA,06:15,06:30,06:45,06:45,7:15	,"318,6.0"
Manchester,EMEA,07:15,07:15,07:30,07:45,8:00,"489,4.7"
Milan,EMEA,06:30,06:30,06:30,06:30,6:45,"480,2.1"
Moscow,EMEA,12:00,02:00,03:00,03:15,4:00,"753,-23.6"
Munich,EMEA,10:30,10:00,10:00,10:30,10:45,"402,3.1"
Oslo,EMEA,10:30,11:00,12:00,12:00,12:00,"441,0.0"
Paris CBD,EMEA,06:00,06:15,06:00,06:00,6:30,"725,-2.0"
Prague,EMEA,06:00,06:00,06:00,06:00,6:00,"234,0.0"
Rome,EMEA,06:00,06:00,06:00,05:45,5:45,"380,0.0"
St. Petersburg,EMEA,12:30,01:15,02:00,03:15,4:45,"287,-36.0"
Stockholm,EMEA,08:00,08:30,09:00,09:30,9:45,"481,0.0"
Stuttgart,EMEA,11:00,11:00,10:00,10:30,10:30,"234,2.6"
Warsaw,EMEA,04:00,04:30,04:30,04:30,4:45,"282,-2.1"
Zurich,EMEA,04:00,04:00,04:30,05:00,6:00,"756,0.0"
